type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created
LOCAL,AL,,FAIRHOPE,$3.00,$3.00,viapath,2026-02-13
LOCAL,AL,,HOOVER,$3.15,$3.15,ics,2026-02-13
LOCAL,AL,,SHEFFIELD,$1.80,$1.80,securus,2026-02-13
LOCAL,AL,BARBOUR,EUFAULA,$1.80,$1.80,securus,2026-02-13
LOCAL,AL,COLBERT,TUSCUMBIA,$1.80,$1.80,securus,2026-02-13
LOCAL,AL,JEFFERSON,BIRMINGHAM,$1.80,$1.80,viapath,2026-02-13
LOCAL,AR,,LAKE VILLAGE,$3.15,$3.15,securus,2026-02-13
LOCAL,AZ,,APACHE JUNCTION,$1.80,$1.80,viapath,2026-02-13
LOCAL,AZ,,GLENDALE,$1.80,$1.80,viapath,2026-02-13
LOCAL,CA,,HEMET,$0.75,$0.75,securus,2026-02-13
LOCAL,CA,,LOMPOC,$1.05,$1.05,securus,2026-02-13
LOCAL,CA,,TAFT,$1.05,$1.05,securus,2026-02-13
LOCAL,CO,ARAPAHOE,AURORA,$3.15,$3.15,securus,2026-02-13
LOCAL,GA,,EAST POINT,$1.80,$1.80,viapath,2026-02-13
LOCAL,GA,COBB,ACWORTH,$2.70,$3.15,viapath,2026-02-13
LOCAL,GA,COBB,SMYRNA,$1.80,$1.80,securus,2026-02-13
LOCAL,GA,FULTON,ATLANTA,$2.70,$2.70,ics,2026-02-13
LOCAL,IL,,ALTON,$3.15,$3.15,securus,2026-02-13
LOCAL,IL,,COLLINSVILLE,$1.80,$1.80,securus,2026-02-13
LOCAL,IL,,GRANITE,$1.80,$1.80,securus,2026-02-13
LOCAL,LA,,BERWICK,$1.80,$1.80,securus,2026-02-13
LOCAL,LA,,SLIDELL,$3.15,$3.15,securus,2026-02-13
LOCAL,LA,CADDO,SHREVEPORT,$3.15,$3.15,securus,2026-02-13
LOCAL,MI,,FLINT,$3.15,$3.15,securus,2026-02-13
LOCAL,MI,,OAK PARK,$3.15,$3.15,viapath,2026-02-13
LOCAL,MN,,BROOKLYN PARK,$3.15,$3.15,securus,2026-02-13
LOCAL,MO,,BERKELEY,$1.80,$1.80,securus,2026-02-13
LOCAL,MO,,BLUE SPRINGS,$1.80,$1.80,securus,2026-02-13
LOCAL,MO,,LEE'S SUMMIT,$1.80,$1.80,securus,2026-02-13
LOCAL,MO,,SCOTT CITY,$1.80,$1.80,securus,2026-02-13
LOCAL,MO,,ST PETERS,$1.80,$1.80,securus,2026-02-13
LOCAL,NM,,HOBBS,$1.80,$1.80,securus,2026-02-13
LOCAL,NV,CLARK,HENDERSON,$3.15,$3.15,securus,2026-02-13
LOCAL,OH,,BEDFORD,$3.15,$3.15,securus,2026-02-13
LOCAL,OH,,LAKEWOOD,$3.15,$3.15,viapath,2026-02-13
LOCAL,OH,,STRONGSVILLE,$3.15,$3.15,securus,2026-02-13
LOCAL,OH,ASHTABULA,ASHTABULA,$1.80,$1.80,securus,2026-02-13
LOCAL,OH,CUYAHOGA,BEDFORD HEIGHTS,$3.15,$3.15,securus,2026-02-13
LOCAL,OH,CUYAHOGA,MAPLE HEIGHTS,$1.80,$1.80,securus,2026-02-13
LOCAL,OH,CUYAHOGA,NORTH ROYALTON,$3.15,$3.15,securus,2026-02-13
LOCAL,OH,CUYAHOGA,PARMA,$1.80,$1.80,securus,2026-02-13
LOCAL,OH,MONTGOMERY,KETTERING,$1.80,$1.80,paytel,2026-02-13
LOCAL,OH,MUSKINGUM,ZANESVILLE,$3.15,$3.15,viapath,2026-02-13
LOCAL,OR,JEFFERSON,WARM SPRINGS,$3.00,$3.15,viapath,2026-02-13
LOCAL,SC,ANDERSON,ANDERSON,$1.35,$1.35,securus,2026-02-13
LOCAL,SD,TRIPP,WINNER,$3.75,$3.15,reliance,2026-02-13
LOCAL,TX,,DESOTO,$3.15,$3.15,securus,2026-02-13
LOCAL,TX,,KELLER,$3.15,$3.15,viapath,2026-02-13
LOCAL,TX,,MESQUITE,$3.15,$3.15,securus,2026-02-13
LOCAL,TX,DALLAS,GARLAND,$3.15,$3.15,securus,2026-02-13
LOCAL,TX,DALLAS,GRAND PRAIRIE,$1.80,$1.80,securus,2026-02-13
LOCAL,TX,DALLAS,IRVING,$3.15,$3.15,securus,2026-02-13
LOCAL,TX,HARRIS,PASADENA,$1.80,$1.80,viapath,2026-02-13
LOCAL,TX,TARRANT,ARLINGTON,$3.15,$3.15,viapath,2026-02-13
LOCAL,VA,,CHESAPEAKE,$3.15,$3.15,securus,2026-02-13
LOCAL,VA,,MARTINSVILLE,$3.15,$3.15,paytel,2026-02-13
LOCAL,VA,,RICHMOND,$1.35,$1.35,viapath,2026-02-13
LOCAL,VA,,ROANOKE,$1.95,$1.95,viapath,2026-02-13
LOCAL,VA,BRISTOL,BRISTOL,$3.15,$3.15,securus,2026-02-13
LOCAL,VA,DANVILLE,DANVILLE,$3.15,$3.15,ics,2026-02-13
LOCAL,VA,HAMPTON,HAMPTON,$1.35,$1.35,viapath,2026-02-13
LOCAL,VA,NEWPORT NEWS,NEWPORT NEWS,$1.05,$1.05,securus,2026-02-13
LOCAL,VA,NORFOLK,NORFOLK,$2.40,$2.40,viapath,2026-02-13
LOCAL,VA,VIRGINIA BEACH,VIRGINIA BEACH,$0.90,$0.90,viapath,2026-02-13
LOCAL,WA,,ABERDEEN,$1.80,$1.80,securus,2026-02-13
LOCAL,WA,,ISSAQUAH,$3.15,$3.15,viapath,2026-02-13
LOCAL,WA,KING,KENT,$3.15,$3.15,securus,2026-02-13
LOCAL,WA,SNOHOMISH,LYNNWOOD,$3.00,$3.00,securus,2026-02-13
LOCAL,WA,SNOHOMISH,MARYSVILLE,$3.15,$3.15,securus,2026-02-13
